1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,4,1,12,5,2,3,16,2,2,1,4,4,5,1
30,7,14,8,21,7,18,8,25,10,16,11,18,15,21,8
23,7,13,8,28,15,21,5,22,7,13,8,25,11,17,15
19,8,9,5,9,9,4,14,16,7,6,5,14,8,8,12
5,2,1,1,6,2,6,4,3,1,4,2,2,3,1,4
0,1,0,1,1,0,0,0,3,0,1,1,0,0,2,0
1,2,0,0,1,1,0,0,0,0,1,0,0,1,0,0
0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1
2,0,1,4,0,0,1,0,4,0,1,0,1,0,0,1
1,1,1,2,2,0,2,0,2,0,2,1,2,3,1,0
0,0,0,0,5,1,0,1,1,0,1,1,5,0,1,0
2,0,2,2,1,0,0,3,3,0,2,0,2,0,1,1
1,0,1,1,3,0,3,1,4,0,2,2,3,0,0,1
5,2,0,0,6,1,0,0,7,1,1,1,4,1,0,0
1,0,0,1,4,0,1,0,2,0,0,1,4,0,2,1
2,1,1,0,0,0,0,2,1,0,0,2,1,0,0,0
0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
