1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
11,7,7,6,5,8,11,6,14,17,13,12,17,13,9,13
5,2,11,5,12,5,8,5,11,7,6,7,6,2,8,3
2,8,8,9,10,6,6,5,1,4,3,7,6,2,8,4
10,10,6,5,6,10,6,7,11,7,12,17,15,8,11,8
22,4,9,10,22,5,14,12,23,12,12,7,19,12,10,7
6,11,15,5,15,7,13,13,16,7,10,3,17,12,12,7
16,7,11,13,20,13,16,7,11,7,13,10,7,13,17,11
22,6,14,12,18,14,15,8,20,7,10,11,26,14,10,12
11,8,8,6,16,8,11,6,11,8,10,4,9,13,17,7
17,6,14,7,16,3,10,8,23,8,9,2,15,4,7,4
20,1,6,2,18,4,9,8,20,3,6,8,10,3,4,1
61,7,8,4,16,4,6,7,13,2,7,3,30,2,4,11
12,2,5,5,16,4,9,3,5,4,11,3,20,6,10,8
13,5,11,5,9,5,12,5,4,4,15,4,12,9,15,5
2,6,6,9,10,4,18,13,10,10,8,8,3,8,11,7
9,2,7,6,4,5,9,10,11,8,13,7,13,6,8,13
6,7,8,4,10,8,1,4,12,7,7,6,8,12,18,19
12,5,15,8,12,8,6,9,13,9,5,10,5,3,8,11
7,8,6,10,5,7,11,11,7,5,10,12,8,6,4,4
6,12,6,10,7,16,5,6,15,11,8,13,15,11,3,12
7,6,8,10,9,2,9,13,4,9,7,8,4,8,7,5
7,2,5,6,8,7,2,5,7,8,7,7,9,14,10,5
19,18,16,17,24,18,22,14,17,9,18,17,11,13,10,20
