2,0,2,0,0,0,1,0,0,1,0,0,1,0,0,3
0,0,0,1,0,3,1,3,1,2,2,1,4,2,2,3
2,2,2,4,2,0,3,2,0,0,3,3,4,0,2,1
7,0,4,0,5,0,6,1,7,2,5,2,6,0,4,3
2,2,6,3,10,0,5,4,8,2,8,4,6,2,6,1
11,2,6,0,10,0,8,1,4,4,7,0,9,3,6,2
7,3,7,0,11,4,9,4,11,5,7,1,10,4,7,1
5,2,5,0,12,0,3,3,12,5,11,2,5,4,8,5
1,2,5,1,15,1,8,2,10,5,4,2,5,1,6,2
8,2,6,2,6,2,2,0,5,1,6,1,11,2,5,2
9,2,4,1,7,0,3,0,8,3,4,1,12,1,2,3
28,2,3,1,3,1,4,0,8,1,3,1,28,1,4,1
4,1,5,2,3,0,1,0,5,5,3,1,7,1,4,0
9,5,11,0,13,1,7,2,8,3,17,1,9,2,14,0
11,2,3,1,14,0,8,1,10,5,8,0,10,2,7,3
6,6,10,0,12,0,10,2,9,0,4,1,9,1,5,1
5,2,4,1,8,2,4,1,8,2,4,2,8,1,9,1
4,1,3,1,1,2,0,3,1,0,3,2,8,2,5,1
5,3,1,3,1,6,4,4,6,5,4,1,2,4,3,2
3,0,3,2,1,5,4,3,3,5,2,4,3,4,3,1
1,3,2,2,1,2,2,1,2,1,0,2,0,2,1,4
1,3,0,2,3,2,0,0,2,1,0,4,0,2,0,3
6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
