,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,2,0,0,3,0,0,0,1,0,1,0,0,1,1,0
50,2,0,0,0,0,0,1,3,0,2,1,0,0,0,1,2
40,0,1,4,0,4,0,3,7,2,2,0,3,1,7,0,0
30,1,0,0,0,0,0,0,5,4,3,1,3,1,2,1,6
20,0,1,0,0,0,0,1,0,1,7,0,9,0,3,1,3
10,1,3,0,0,1,0,1,0,1,0,2,0,0,5,1,0
5,1,2,0,0,3,0,1,0,1,3,1,2,2,1,2,8
0,7,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
-5,1,1,0,0,2,0,0,0,0,0,0,0,2,0,1,0
-10,1,3,8,0,1,0,3,4,2,0,8,3,4,0,3,0
-20,1,1,2,0,5,0,1,0,3,2,1,0,4,1,2,1
-30,4,3,5,0,1,0,5,1,1,0,3,0,2,0,2,0
-40,0,3,0,0,0,0,3,0,0,0,1,0,1,0,2,0
-50,1,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0
-60,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0
-70,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
