,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
80,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
60,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
50,3,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0
40,1,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0
30,1,0,4,0,2,0,3,0,2,0,4,0,4,0,0,0
20,2,0,0,0,0,0,2,1,2,0,1,0,0,0,1,0
10,2,0,4,0,0,0,3,3,3,0,4,0,0,2,4,0
5,1,0,2,0,4,0,0,0,1,0,0,0,2,0,0,2
0,2,0,2,0,0,0,1,0,1,0,0,0,1,0,3,0
-5,1,0,4,0,0,3,1,0,0,0,2,0,1,0,1,9
-10,2,0,0,5,3,3,6,5,1,3,1,0,4,0,0,6
-20,0,5,1,5,3,3,1,3,4,6,3,7,1,2,2,0
-30,0,0,2,0,0,0,0,6,3,0,1,10,1,5,5,0
-40,0,10,0,9,0,11,0,0,1,5,0,0,1,2,1,3
-50,0,0,1,0,0,0,2,0,1,4,1,0,0,4,0,0
-60,0,3,0,0,2,0,0,0,0,2,0,2,1,1,0,0
-70,1,0,0,1,1,0,0,2,0,0,0,1,1,3,0,0
-80,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
