,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
70,4,0,1,0,1,0,2,0,1,1,0,0,1,0,1,0
60,1,2,4,5,0,0,0,3,1,0,4,2,3,4,1,0
50,6,0,1,0,5,0,1,0,1,0,1,0,2,3,1,0
40,1,0,0,0,0,0,4,0,1,3,1,0,1,1,4,0
30,1,0,2,0,2,0,1,2,5,3,2,0,0,0,0,0
20,0,0,1,0,5,0,2,0,1,0,1,0,0,0,0,0
10,1,0,1,0,1,0,1,0,0,0,0,4,5,1,2,5
5,2,0,1,0,2,0,2,0,2,1,1,0,2,0,0,0
0,3,0,1,2,0,0,1,0,4,0,1,0,3,0,2,0
-5,0,0,3,4,1,0,0,0,0,1,0,0,0,1,4,0
-10,0,0,2,0,2,0,2,1,2,0,6,0,0,0,1,0
-20,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,2
-30,0,0,2,0,1,0,3,7,2,0,1,0,0,0,1,3
-40,1,0,1,4,0,5,0,0,0,0,2,2,0,0,0,0
-50,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6
-60,0,3,0,0,0,3,0,6,0,3,0,0,0,1,0,0
-70,0,0,0,2,0,12,0,0,0,6,0,8,0,4,0,0
-80,0,12,0,2,0,0,0,0,0,0,0,1,0,1,0,4
-90,0,3,0,1,0,0,0,0,0,0,0,0,0,4,0,0
-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
