,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
60,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0
50,0,5,1,1,1,0,0,1,0,0,0,0,1,0,1,0
40,0,1,0,0,1,0,1,0,2,2,2,0,0,0,1,2
30,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0
20,0,0,0,0,0,0,2,0,0,0,1,0,2,1,0,0
10,1,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0
5,2,0,0,0,1,0,1,2,1,0,1,0,0,0,0,0
0,2,0,1,0,1,0,2,0,2,0,0,0,1,0,1,0
-5,1,0,0,0,0,0,0,0,0,1,2,0,1,0,2,1
-10,0,0,3,4,0,2,1,0,0,0,0,0,0,2,1,0
-20,0,0,2,1,2,0,2,4,1,0,0,0,0,0,2,0
-30,0,2,1,0,0,6,0,1,0,2,1,1,0,0,0,1
-40,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,3
-50,0,0,0,1,1,0,0,0,0,2,0,2,0,1,0,1
-60,0,0,0,0,0,1,0,0,2,0,0,2,0,1,0,0
-70,0,2,0,1,0,1,0,0,0,1,2,0,0,2,0,0
-80,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
-90,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
