,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,2,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0
90,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0
80,0,3,0,3,1,1,0,0,0,0,0,0,0,1,0,3
70,1,1,2,1,0,1,2,3,0,0,2,3,0,2,5,0
60,3,1,1,1,1,0,1,2,3,1,0,3,1,2,0,3
50,0,0,2,0,2,6,2,3,1,1,0,3,5,2,0,0
40,2,1,2,2,6,4,3,1,1,5,7,0,1,0,1,1
30,1,7,3,3,7,0,1,3,5,4,3,0,4,3,6,1
20,0,0,3,1,0,1,3,0,2,0,2,0,1,0,2,4
10,3,2,1,0,0,0,2,0,3,2,2,0,0,1,3,0
5,1,2,1,0,1,0,1,1,2,0,0,2,0,0,0,0
0,1,1,2,0,0,1,0,2,1,0,1,1,1,3,0,3
-5,3,0,1,1,0,0,1,1,1,1,0,0,2,1,0,2
-10,1,0,0,2,0,0,1,0,0,0,0,1,0,0,2,0
-20,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2
-30,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
-40,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
-50,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0
-60,0,1,0,1,0,3,2,1,0,2,1,2,1,0,0,0
-70,2,0,0,1,0,2,0,1,0,1,0,2,0,2,0,0
-80,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
-90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-100,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
