,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
80,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
70,1,0,2,0,0,0,0,0,3,3,1,0,3,0,2,0
60,2,3,2,5,0,0,0,4,1,0,6,3,1,3,1,0
50,2,0,2,0,5,0,5,0,0,0,0,0,2,1,3,0
40,0,0,0,0,0,0,1,0,1,2,2,0,1,1,3,0
30,2,0,1,0,4,0,2,2,5,1,3,0,0,0,0,0
20,0,0,3,0,4,0,4,1,0,0,2,0,0,0,0,0
10,2,0,1,0,2,0,2,0,1,0,1,3,3,1,2,5
5,1,0,2,0,2,0,1,0,6,1,0,0,4,0,0,0
0,3,0,2,1,0,0,0,0,2,0,0,0,5,0,4,0
-5,1,0,2,2,0,0,1,0,0,1,0,0,0,2,1,0
-10,3,0,2,0,1,0,2,0,0,0,3,0,0,0,1,0
-20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5
-30,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,1
-40,2,0,1,2,0,3,0,0,1,0,2,2,0,1,0,0
-50,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6
-60,0,12,0,0,0,3,0,7,0,7,0,0,0,4,0,0
-70,0,0,0,2,0,9,0,4,0,4,0,7,0,3,0,0
-80,0,3,0,3,0,0,0,0,0,0,0,3,0,2,0,3
-90,0,2,0,5,0,0,0,0,0,0,0,0,0,2,0,0
-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
