,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,3,14,0,0,0,0,0,0,1,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,0,0,0,5,2,1,1,0,0,3,1,4,1,0,1,7
20,2,2,0,0,1,0,0,0,0,0,0,0,0,0,2,5
10,0,3,4,0,1,0,1,0,0,0,1,0,0,3,0,0
5,0,2,0,0,3,4,0,0,1,0,0,16,2,5,0,0
0,3,3,3,4,3,0,0,6,6,3,0,0,4,0,3,0
-5,9,0,1,0,4,7,1,0,1,1,1,0,4,1,4,5
-10,4,9,3,0,2,2,3,0,8,9,3,0,5,7,6,0
-20,2,0,7,0,2,6,8,0,4,3,9,0,3,3,1,0
-30,0,1,1,11,2,0,2,0,0,1,2,0,0,0,2,0
-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-70,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
