,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0
50,0,2,1,0,0,0,1,1,0,1,0,0,2,0,0,0
40,0,1,0,0,1,0,0,1,3,0,2,1,0,0,1,0
30,0,0,0,3,2,0,0,1,0,0,0,2,0,0,0,2
20,0,0,0,0,0,0,1,0,1,0,3,1,0,0,0,0
10,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,1
5,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0
0,4,0,0,0,1,0,1,0,1,1,0,0,3,0,0,0
-5,0,0,0,0,2,0,0,0,0,1,1,0,3,0,1,1
-10,1,0,1,1,0,1,4,0,1,0,1,0,0,4,4,1
-20,1,2,2,2,0,0,0,2,0,0,0,1,0,1,0,0
-30,0,2,0,0,0,8,0,2,0,4,0,0,0,3,0,2
-40,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1
-50,0,0,1,2,0,0,0,2,0,2,1,1,0,1,0,2
-60,1,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0
-70,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
-80,1,0,2,0,0,0,1,1,0,1,0,0,0,1,0,0
-90,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0
-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
