,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70,0,0,1,0,0,0,1,0,2,0,2,0,1,0,0,0
60,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0
50,2,0,1,0,2,0,2,0,0,0,1,0,0,0,1,0
40,2,0,0,0,0,1,1,0,0,1,0,0,1,1,2,0
30,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
20,0,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0
10,0,0,1,0,1,0,0,0,1,0,1,0,2,0,1,3
5,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0
0,1,0,2,0,0,0,1,0,2,0,0,0,5,0,2,0
-5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
-10,1,0,0,0,0,0,2,0,1,0,4,0,0,0,1,0
-20,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
-30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
-40,0,0,0,2,0,3,0,0,0,0,1,2,0,0,0,0
-50,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
-60,0,1,0,0,0,2,0,4,0,5,0,0,0,3,0,0
-70,0,0,0,2,0,3,0,4,0,3,0,6,0,2,0,0
-80,0,7,0,1,0,0,0,0,0,0,0,1,0,3,0,2
-90,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
