,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70,3,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1
60,2,0,1,1,5,0,1,1,2,1,0,2,6,1,0,0
50,1,4,6,4,1,5,0,1,3,2,2,0,3,0,2,1
40,0,2,0,0,1,0,2,3,2,3,4,2,1,0,2,3
30,0,0,0,1,0,0,2,1,0,0,0,2,1,0,0,1
20,0,0,0,0,1,0,2,0,0,0,1,1,1,1,2,0
10,2,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0
5,1,0,1,0,3,0,0,0,2,0,1,0,0,0,1,0
0,5,0,0,0,1,0,0,0,3,0,0,0,3,0,0,1
-5,0,0,0,0,2,0,1,0,0,0,2,0,1,0,0,3
-10,0,6,2,0,1,4,2,0,1,0,0,0,0,1,3,0
-20,0,0,2,6,1,0,0,3,0,2,1,0,0,1,1,0
-30,1,4,0,2,0,3,1,4,0,6,0,3,0,0,0,1
-40,0,0,0,1,0,0,0,4,0,0,0,0,0,5,0,2
-50,0,0,3,2,0,0,0,0,1,1,0,3,0,2,0,4
-60,2,1,2,0,0,6,1,0,2,2,5,2,2,1,0,0
-70,1,0,0,0,0,1,1,0,0,2,1,1,0,2,2,0
-80,0,0,3,0,1,0,7,3,0,1,3,0,0,2,5,1
-90,2,3,0,3,0,1,0,0,1,0,0,3,0,0,2,2
-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
