,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1
90,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0
80,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,1
70,1,1,0,1,0,3,0,4,0,0,3,1,1,0,1,0
60,1,0,0,0,2,0,1,0,1,2,0,1,0,0,0,2
50,1,0,1,0,0,0,0,0,1,0,0,1,3,3,0,0
40,0,1,2,0,3,5,1,2,1,1,3,1,1,2,2,1
30,1,4,1,3,1,0,6,0,3,1,2,0,1,0,2,1
20,2,1,3,1,0,0,1,0,1,1,0,0,2,0,1,1
10,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0
5,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0
0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
-5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
-20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2
-30,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
-60,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-70,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-100,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0
