,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
50,1,0,0,0,0,0,4,0,2,0,0,0,1,0,1,0
40,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0,0
30,3,0,2,0,2,0,0,0,6,0,5,0,3,0,2,0
20,1,0,1,0,0,0,0,2,1,0,0,0,1,0,3,0
10,3,0,3,0,0,1,5,12,0,0,1,0,1,4,2,0
5,0,0,1,0,5,0,1,0,2,0,0,0,5,1,1,3
0,3,0,0,0,5,0,0,0,2,0,3,0,5,0,3,0
-5,0,0,6,0,0,3,0,0,0,0,1,0,2,0,1,9
-10,6,0,2,5,4,1,7,2,2,1,2,0,0,0,1,3
-20,1,1,1,4,0,6,2,1,1,4,4,2,0,1,2,0
-30,0,0,0,0,0,1,0,1,2,0,2,6,0,5,2,0
-40,0,10,0,4,0,8,0,0,0,3,0,0,0,3,1,5
-50,1,0,3,0,0,0,0,0,2,11,1,0,0,0,0,0
-60,0,7,0,0,0,0,0,0,0,1,0,4,0,2,1,0
-70,0,0,0,7,0,0,0,1,0,0,0,8,0,3,0,0
-80,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
