,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
70,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,3,13,1,0,0,0,0,0,1,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,0,0,0,2,1,2,1,0,0,2,1,5,2,0,0,1
20,1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1
10,0,2,3,0,4,0,1,0,3,0,0,0,0,5,0,0
5,2,0,0,0,2,0,0,0,3,2,0,15,0,3,0,0
0,7,9,0,14,5,0,1,7,6,1,0,0,7,0,1,0
-5,5,0,2,0,2,10,0,0,3,5,2,0,5,2,2,17
-10,2,6,8,0,4,6,6,0,1,3,4,0,4,7,9,0
-20,2,1,4,0,0,2,5,0,2,6,8,0,1,3,5,0
-30,0,1,1,4,0,0,2,0,0,1,1,0,0,0,0,0
-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
