,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,1,0,0,1,0,1,7,0,0,0,0,0,5,0,1
50,1,0,0,0,2,0,0,1,1,1,1,0,1,0,0,1
40,1,2,1,0,1,0,2,1,0,4,0,3,4,3,0,0
30,0,0,3,0,1,0,0,2,4,2,3,0,0,1,5,6
20,0,1,0,0,2,0,5,2,2,3,1,9,1,1,0,2
10,2,0,0,0,1,0,0,0,0,0,1,0,0,4,4,0
5,0,1,0,0,1,0,1,0,1,1,3,5,3,2,3,5
0,3,0,2,0,0,0,1,0,1,3,0,0,3,0,0,0
-5,1,2,1,0,1,0,0,0,3,2,0,0,1,0,0,0
-10,2,3,7,0,3,0,1,4,4,3,4,3,2,0,6,0
-20,4,3,1,0,1,0,6,0,1,1,0,0,4,4,1,3
-30,3,5,4,0,2,0,3,3,1,0,1,0,0,0,0,0
-40,0,2,0,0,4,0,0,0,1,0,1,0,1,0,1,1
-50,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
-60,0,0,0,20,0,20,0,0,1,0,0,0,0,0,0,0
-70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
