,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,0,0,0,3,1,1,1,0,0,1,1,2,0,0,0,4
20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
10,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5,1,1,0,0,1,1,0,0,0,0,0,8,0,1,1,0
0,3,3,0,3,2,0,1,3,2,0,0,0,1,0,1,0
-5,4,0,1,0,1,6,0,0,2,3,0,0,3,1,1,2
-10,1,2,0,0,3,1,4,0,1,2,5,0,3,6,4,0
-20,0,3,4,0,1,1,4,0,4,2,4,0,2,2,2,0
-30,0,1,5,4,0,0,0,0,0,1,0,0,0,0,1,0
-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
