,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
60,2,0,0,0,3,0,0,1,1,0,0,2,6,1,1,2
50,1,2,1,2,1,2,4,0,2,0,1,0,2,0,1,0
40,0,0,0,0,0,0,0,1,3,2,1,2,1,0,0,0
30,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0
20,2,0,0,0,3,0,0,0,1,0,3,0,0,0,1,0
10,1,0,1,0,1,0,0,0,4,0,0,0,2,0,1,1
5,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
0,6,0,0,0,0,0,1,0,0,1,0,0,5,0,1,0
-5,0,0,2,0,4,0,2,0,0,1,1,0,1,0,1,1
-10,0,3,7,2,0,3,3,0,2,0,4,0,0,3,3,1
-20,2,2,2,4,0,0,1,5,1,1,0,0,0,2,1,0
-30,1,6,0,1,0,7,0,3,1,4,3,0,0,2,0,4
-40,0,0,1,2,0,0,0,2,1,0,0,0,0,5,7,4
-50,0,0,4,3,2,0,2,3,0,4,2,6,0,1,0,6
-60,0,4,0,0,0,3,4,0,0,4,3,3,0,1,0,0
-70,1,1,1,3,0,4,0,0,2,0,1,1,0,1,2,0
-80,0,0,1,0,2,0,3,5,0,2,0,0,0,2,1,1
-90,2,2,0,3,0,1,0,0,0,1,0,3,0,1,0,0
-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
