,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,0,0,0,0,0,0,1,0,1,0,0,2,3,0,1,0
90,0,0,0,2,0,1,2,1,0,1,0,0,0,0,0,0
80,0,1,3,3,4,1,0,0,0,0,0,0,1,0,0,4
70,1,2,2,1,1,3,1,1,3,2,7,2,1,2,3,0
60,0,2,0,0,2,0,1,2,1,4,0,2,0,0,1,0
50,0,2,2,0,3,6,2,4,1,1,2,2,2,5,2,1
40,0,2,4,3,1,1,3,1,5,1,1,0,2,1,3,3
30,1,3,3,0,2,0,3,3,2,0,3,1,5,2,5,0
20,2,1,1,1,1,0,1,0,0,1,2,0,1,0,1,3
10,1,1,1,2,2,0,3,0,0,3,1,0,0,1,0,0
5,2,0,1,0,0,0,0,1,3,0,0,1,0,1,0,0
0,8,0,0,0,0,1,0,0,0,0,1,0,1,1,0,2
-5,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1
-10,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
-20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-30,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0
-40,0,0,0,3,1,0,0,1,0,0,1,1,0,0,1,1
-50,1,0,0,0,0,0,1,0,1,2,0,0,0,2,0,2
-60,0,4,1,2,0,3,0,1,0,2,0,1,0,1,0,1
-70,1,1,0,0,0,1,0,4,0,1,0,3,0,3,0,2
-80,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0
-90,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
-100,1,0,2,0,2,2,2,0,2,0,0,1,2,0,1,0
