,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
70,0,0,1,0,2,0,0,0,3,0,0,0,0,0,2,0
60,2,3,3,3,0,0,0,2,1,0,3,3,2,2,1,0
50,3,0,3,0,4,0,4,0,0,0,2,0,1,1,4,0
40,1,0,0,0,0,0,3,0,1,2,1,0,0,1,1,0
30,0,0,1,0,2,0,2,2,4,1,6,0,1,0,0,0
20,1,0,3,0,5,0,3,1,2,0,0,0,0,0,0,0
10,0,0,3,0,1,0,1,0,2,0,1,3,4,0,3,2
5,0,0,1,0,2,0,3,0,0,3,1,0,3,0,0,0
0,8,0,1,3,1,0,1,0,1,0,0,0,3,1,3,0
-5,2,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0
-10,0,0,1,0,2,0,1,0,3,2,5,0,0,1,1,0
-20,1,0,0,0,0,0,1,0,0,6,1,0,0,0,1,4
-30,0,0,2,0,1,0,0,5,1,0,0,0,2,0,0,4
-40,0,0,1,3,0,8,0,0,2,0,0,0,1,1,1,0
-50,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,6
-60,2,2,0,0,0,0,1,7,0,1,0,0,0,1,0,0
-70,0,0,0,5,0,9,0,2,0,4,0,11,0,5,0,0
-80,0,10,0,0,0,0,0,0,0,0,0,2,0,3,0,4
-90,0,5,0,5,0,0,0,0,0,0,0,0,0,3,0,0
-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
