,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
50,0,0,0,0,2,0,3,0,1,0,1,0,1,0,1,0
40,0,0,0,0,3,0,2,0,3,0,0,0,0,0,0,0
30,2,0,4,0,1,0,1,0,1,0,2,0,4,0,2,0
20,0,0,2,0,0,0,0,0,1,0,1,0,1,0,3,0
10,1,0,1,0,0,4,2,3,1,0,3,0,1,4,3,0
5,1,0,2,0,4,0,2,0,2,0,0,0,4,0,2,3
0,4,0,0,0,5,0,0,0,0,0,3,0,3,0,3,0
-5,0,0,4,0,0,2,1,0,3,0,3,0,2,0,1,5
-10,5,0,1,5,1,2,7,4,3,6,2,0,2,0,1,3
-20,2,12,3,9,3,6,1,2,1,6,0,6,1,0,0,0
-30,2,0,1,0,0,0,0,7,2,0,2,11,0,11,3,0
-40,0,3,0,2,0,6,0,0,0,3,0,0,0,2,0,9
-50,1,0,1,0,0,0,1,0,0,5,1,0,0,0,0,0
-60,0,5,0,0,0,0,0,0,2,0,0,0,0,1,1,0
-70,0,0,0,4,1,0,0,4,0,0,0,3,1,2,0,0
-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
