,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0
50,0,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0
40,0,0,1,0,0,0,1,0,1,0,2,0,0,0,2,0
30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
10,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
-10,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
-20,1,0,1,2,0,0,0,1,0,0,0,1,0,3,1,0
-30,0,1,0,1,0,3,0,1,0,2,0,0,0,0,0,1
-40,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
-50,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
-60,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
-70,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0
-80,0,0,1,0,1,0,0,1,0,2,0,0,0,1,0,1
-90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
