,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
60,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
30,0,0,0,5,4,1,0,0,1,1,1,5,0,0,0,7
20,2,5,0,0,3,0,0,0,0,0,0,0,1,0,0,6
10,0,3,4,0,0,0,3,0,0,0,0,0,0,1,0,0
5,1,1,0,0,2,9,0,0,1,1,0,15,0,6,2,0
0,7,2,1,7,3,0,1,7,4,1,0,0,8,0,1,0
-5,4,0,2,0,3,5,0,0,3,1,4,0,5,2,1,4
-10,3,4,3,0,4,2,7,0,5,9,6,0,1,7,7,0
-20,2,3,8,0,1,3,4,0,1,4,3,0,3,4,5,0
-30,0,2,2,8,0,0,3,0,1,3,5,0,0,0,4,0
-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-70,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
